Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Wed Nov 4 2015,8:00 pm,Philadelphia 76ers,87,Milwaukee Bucks,91,Box Score,,
Wed Nov 4 2015,8:00 pm,Toronto Raptors,103,Oklahoma City Thunder,98,Box Score,,
Wed Nov 4 2015,9:00 pm,Sacramento Kings,97,Phoenix Suns,118,Box Score,,
Wed Nov 4 2015,9:00 pm,Portland Trail Blazers,108,Utah Jazz,92,Box Score,,
Wed Nov 4 2015,7:00 pm,San Antonio Spurs,99,Washington Wizards,102,Box Score,,
Thu Nov 5 2015,8:00 pm,Oklahoma City Thunder,98,Chicago Bulls,104,Box Score,,
Thu Nov 5 2015,8:30 pm,Charlotte Hornets,108,Dallas Mavericks,94,Box Score,,
Thu Nov 5 2015,9:00 pm,Utah Jazz,96,Denver Nuggets,84,Box Score,,
Thu Nov 5 2015,8:00 pm,Miami Heat,96,Minnesota Timberwolves,84,Box Score,,
Thu Nov 5 2015,10:30 pm,Memphis Grizzlies,96,Portland Trail Blazers,115,Box Score,,
Fri Nov 6 2015,7:30 pm,Washington Wizards,98,Boston Celtics,118,Box Score,,
Fri Nov 6 2015,7:30 pm,Los Angeles Lakers,104,Brooklyn Nets,98,Box Score,,
Fri Nov 6 2015,7:30 pm,Philadelphia 76ers,102,Cleveland Cavaliers,108,Box Score,,
Fri Nov 6 2015,10:30 pm,Denver Nuggets,104,Golden State Warriors,119,Box Score,,
Fri Nov 6 2015,8:00 pm,Miami Heat,87,Indiana Pacers,90,Box Score,,
Fri Nov 6 2015,8:00 pm,Atlanta Hawks,121,New Orleans Pelicans,115,Box Score,,
Fri Nov 6 2015,7:30 pm,Milwaukee Bucks,99,New York Knicks,92,Box Score,,
Fri Nov 6 2015,7:00 pm,Toronto Raptors,87,Orlando Magic,92,Box Score,,
Fri Nov 6 2015,9:30 pm,Detroit Pistons,100,Phoenix Suns,92,Box Score,,
Fri Nov 6 2015,10:30 pm,Houston Rockets,116,Sacramento Kings,110,Box Score,,
Sat Nov 7 2015,7:30 pm,Washington Wizards,99,Atlanta Hawks,114,Box Score,,
Sat Nov 7 2015,6:00 pm,Minnesota Timberwolves,102,Chicago Bulls,93,Box Score,OT,
Sat Nov 7 2015,8:30 pm,New Orleans Pelicans,98,Dallas Mavericks,107,Box Score,,
Sat Nov 7 2015,10:30 pm,Houston Rockets,109,Los Angeles Clippers,105,Box Score,,
Sat Nov 7 2015,8:30 pm,Brooklyn Nets,86,Milwaukee Bucks,94,Box Score,,
Sat Nov 7 2015,7:00 pm,Orlando Magic,105,Philadelphia 76ers,97,Box Score,,
Sat Nov 7 2015,10:00 pm,Golden State Warriors,103,Sacramento Kings,94,Box Score,,
Sat Nov 7 2015,8:30 pm,Charlotte Hornets,94,San Antonio Spurs,114,Box Score,,
Sat Nov 7 2015,9:00 pm,Memphis Grizzlies,79,Utah Jazz,89,Box Score,,
Sun Nov 8 2015,3:30 pm,Indiana Pacers,97,Cleveland Cavaliers,101,Box Score,,
Sun Nov 8 2015,6:00 pm,Toronto Raptors,76,Miami Heat,96,Box Score,,
Sun Nov 8 2015,3:30 pm,Los Angeles Lakers,95,New York Knicks,99,Box Score,,
Sun Nov 8 2015,7:00 pm,Phoenix Suns,103,Oklahoma City Thunder,124,Box Score,,
Sun Nov 8 2015,9:00 pm,Detroit Pistons,120,Portland Trail Blazers,103,Box Score,,
Mon Nov 9 2015,8:00 pm,Minnesota Timberwolves,117,Atlanta Hawks,107,Box Score,,
Mon Nov 9 2015,9:00 pm,Portland Trail Blazers,104,Denver Nuggets,108,Box Score,,
Mon Nov 9 2015,10:30 pm,Detroit Pistons,95,Golden State Warriors,109,Box Score,,
Mon Nov 9 2015,7:00 pm,Orlando Magic,84,Indiana Pacers,97,Box Score,,
Mon Nov 9 2015,10:30 pm,Memphis Grizzlies,92,Los Angeles Clippers,94,Box Score,,
Mon Nov 9 2015,7:00 pm,Chicago Bulls,111,Philadelphia 76ers,88,Box Score,,
Mon Nov 9 2015,10:00 pm,San Antonio Spurs,106,Sacramento Kings,88,Box Score,,
Tue Nov 10 2015,7:00 pm,Utah Jazz,114,Cleveland Cavaliers,118,Box Score,,
Tue Nov 10 2015,7:30 pm,Los Angeles Lakers,88,Miami Heat,101,Box Score,,
Tue Nov 10 2015,8:00 pm,Boston Celtics,99,Milwaukee Bucks,83,Box Score,,
Tue Nov 10 2015,8:00 pm,Charlotte Hornets,104,Minnesota Timberwolves,95,Box Score,,
Tue Nov 10 2015,8:00 pm,Dallas Mavericks,105,New Orleans Pelicans,120,Box Score,,
